date,category,value_gwh
2020-02-11,Other,1.82
2020-02-11,Solar,16.82
2020-02-11,Wind_Offshore,9.19
2020-02-11,Wind_Onshore,30.79
2020-02-12,Biomass,8.3
2020-02-12,Coal_Hard_Coal,15.04
2020-02-12,Coal_Lignite,21.12
2020-02-12,Gas,10.97
2020-02-12,Hydro,4.84
2020-02-12,Nuclear,9.93
2020-02-12,Other,2.01
2020-02-12,Solar,16.84
2020-02-12,Wind_Offshore,10.66
2020-02-12,Wind_Onshore,30.3
2020-02-13,Biomass,7.36
2020-02-13,Coal_Hard_Coal,16.19
2020-02-13,Coal_Lignite,18.23
2020-02-13,Gas,10.84
2020-02-13,Hydro,4.73
2020-02-13,Nuclear,9.83
2020-02-13,Other,1.99
2020-02-13,Solar,18.36
2020-02-13,Wind_Offshore,9.66
2020-02-13,Wind_Onshore,30.79
2020-02-14,Biomass,8.27
2020-02-14,Coal_Hard_Coal,14.32
2020-02-14,Coal_Lignite,21.29
2020-02-14,Gas,11.92
2020-02-14,Hydro,5.31
2020-02-14,Nuclear,9.29
2020-02-14,Other,1.82
2020-02-14,Solar,18.92
2020-02-14,Wind_Offshore,9.53
2020-02-14,Wind_Onshore,33.19
2020-02-15,Biomass,8.63
2020-02-15,Coal_Hard_Coal,14.63
2020-02-15,Coal_Lignite,20.51
2020-02-15,Gas,11.54
2020-02-15,Hydro,5.17
2020-02-15,Nuclear,9.51
2020-02-15,Other,2.14
2020-02-15,Solar,18.17
2020-02-15,Wind_Offshore,10.21
2020-02-15,Wind_Onshore,30.08
2020-02-16,Biomass,7.83
2020-02-16,Coal_Hard_Coal,13.76
2020-02-16,Coal_Lignite,18.18
2020-02-16,Gas,12.34
2020-02-16,Hydro,4.69
2020-02-16,Nuclear,9.64
2020-02-16,Other,2.14
2020-02-16,Solar,18.09
2020-02-16,Wind_Offshore,10.51
2020-02-16,Wind_Onshore,28.22
2020-02-17,Biomass,7.48
2020-02-17,Coal_Hard_Coal,14.88
2020-02-17,Coal_Lignite,21.67
2020-02-17,Gas,11.91
2020-02-17,Hydro,5.41
2020-02-17,Nuclear,10.19
2020-02-17,Other,2.11
2020-02-17,Solar,17.98
2020-02-17,Wind_Offshore,10.7
2020-02-17,Wind_Onshore,27.83
2020-02-18,Biomass,7.33
2020-02-18,Coal_Hard_Coal,16.08
2020-02-18,Coal_Lignite,18.41
2020-02-18,Gas,11.88
2020-02-18,Hydro,4.75
2020-02-18,Nuclear,10.79
2020-02-18,Other,1.82
2020-02-18,Solar,17.61
2020-02-18,Wind_Offshore,10.6
2020-02-18,Wind_Onshore,31.48
2020-02-19,Biomass,7.47
2020-02-19,Coal_Hard_Coal,14.87
2020-02-19,Coal_Lignite,19.53
2020-02-19,Gas,11.24
2020-02-19,Hydro,4.81
2020-02-19,Nuclear,10.52
2020-02-19,Other,1.81
2020-02-19,Solar,20.45
2020-02-19,Wind_Offshore,10.64
2020-02-19,Wind_Onshore,31
2020-02-20,Biomass,8.64
2020-02-20,Coal_Hard_Coal,13.75
2020-02-20,Coal_Lignite,21.1
2020-02-20,Gas,12.94
2020-02-20,Hydro,4.65
2020-02-20,Nuclear,10.15
2020-02-20,Other,1.9
2020-02-20,Solar,17.35
2020-02-20,Wind_Offshore,10.02
2020-02-20,Wind_Onshore,29.18
2020-02-21,Biomass,7.76
2020-02-21,Coal_Hard_Coal,14.95
2020-02-21,Coal_Lignite,19.09
2020-02-21,Gas,11.6
2020-02-21,Hydro,4.77
2020-02-21,Nuclear,9.31
2020-02-21,Other,2.03
2020-02-21,Solar,17.46
2020-02-21,Wind_Offshore,9.47
2020-02-21,Wind_Onshore,32.96
2020-02-22,Biomass,7.97
2020-02-22,Coal_Hard_Coal,15.34
2020-02-22,Coal_Lignite,18.38
2020-02-22,Gas,12.46
2020-02-22,Hydro,5.42
2020-02-22,Nuclear,9.06
2020-02-22,Other,1.91
2020-02-22,Solar,19.99
2020-02-22,Wind_Offshore,10.71
2020-02-22,Wind_Onshore,34.09
2020-02-23,Biomass,8.04
2020-02-23,Coal_Hard_Coal,14.67
2020-02-23,Coal_Lignite,20.44
2020-02-23,Gas,11.03
2020-02-23,Hydro,5.03
2020-02-23,Nuclear,9.01
2020-02-23,Other,1.89
2020-02-23,Solar,20.22
2020-02-23,Wind_Offshore,10.66
2020-02-23,Wind_Onshore,29.76
2020-02-24,Biomass,7.75
2020-02-24,Coal_Hard_Coal,15.08
2020-02-24,Coal_Lignite,18.56
2020-02-24,Gas,12.62
2020-02-24,Hydro,4.72
2020-02-24,Nuclear,10.33
2020-02-24,Other,1.93
2020-02-24,Solar,19.75
2020-02-24,Wind_Offshore,10.13
2020-02-24,Wind_Onshore,34.46
2020-02-25,Biomass,8.62
2020-02-25,Coal_Hard_Coal,13.72
2020-02-25,Coal_Lignite,18.41
2020-02-25,Gas,11.02
2020-02-25,Hydro,4.78
2020-02-25,Nuclear,10.83
2020-02-25,Other,2.11
2020-02-25,Solar,20.52
2020-02-25,Wind_Offshore,10.49
2020-02-25,Wind_Onshore,29.73
2020-02-26,Biomass,8.03
2020-02-26,Coal_Hard_Coal,14.24
2020-02-26,Coal_Lignite,18.02
2020-02-26,Gas,11.64
2020-02-26,Hydro,4.75
2020-02-26,Nuclear,10.47
2020-02-26,Other,2.1
2020-02-26,Solar,20.15
2020-02-26,Wind_Offshore,9.23
2020-02-26,Wind_Onshore,29.85
2020-02-27,Biomass,8.17
2020-02-27,Coal_Hard_Coal,14.01
2020-02-27,Coal_Lignite,17.86
2020-02-27,Gas,12.32
2020-02-27,Hydro,4.53
2020-02-27,Nuclear,9.03
2020-02-27,Other,2.03
2020-02-27,Solar,19.6
2020-02-27,Wind_Offshore,11.18
2020-02-27,Wind_Onshore,29.91
2020-02-28,Biomass,7.92
2020-02-28,Coal_Hard_Coal,14.01
2020-02-28,Coal_Lignite,20.42
2020-02-28,Gas,11.95
2020-02-28,Hydro,5.49
2020-02-28,Nuclear,10.97
2020-02-28,Other,2.09
2020-02-28,Solar,18.15
2020-02-28,Wind_Offshore,10.55
2020-02-28,Wind_Onshore,34.55
2020-02-29,Biomass,7.28
2020-02-29,Coal_Hard_Coal,15.79
2020-02-29,Coal_Lignite,21.81
2020-02-29,Gas,11.97
2020-02-29,Hydro,4.84
2020-02-29,Nuclear,10.08
2020-02-29,Other,1.98
2020-02-29,Solar,18.47
2020-02-29,Wind_Offshore,10.09
2020-02-29,Wind_Onshore,34.08
2020-03-01,Biomass,7.91
2020-03-01,Coal_Hard_Coal,14.92
2020-03-01,Coal_Lignite,19.06
2020-03-01,Gas,11.95
2020-03-01,Hydro,4.66
2020-03-01,Nuclear,10.54
2020-03-01,Other,2.01
2020-03-01,Solar,19.21
2020-03-01,Wind_Offshore,10.81
2020-03-01,Wind_Onshore,30.63
2020-03-02,Biomass,7.98
2020-03-02,Coal_Hard_Coal,15.89
2020-03-02,Coal_Lignite,19.24
2020-03-02,Gas,13.01
2020-03-02,Hydro,4.71
2020-03-02,Nuclear,9.21
2020-03-02,Other,1.93
2020-03-02,Solar,19.17
2020-03-02,Wind_Offshore,10.65
2020-03-02,Wind_Onshore,32.25
2020-03-03,Biomass,8.35
2020-03-03,Coal_Hard_Coal,13.83
2020-03-03,Coal_Lignite,20.76
2020-03-03,Gas,12.47
2020-03-03,Hydro,4.93
2020-03-03,Nuclear,9.53
2020-03-03,Other,1.99
2020-03-03,Solar,19.19
2020-03-03,Wind_Offshore,9.73
2020-03-03,Wind_Onshore,32.72
2020-03-04,Biomass,8.56
2020-03-04,Coal_Hard_Coal,15.06
2020-03-04,Coal_Lignite,18.8
2020-03-04,Gas,12.51
2020-03-04,Hydro,5.02
2020-03-04,Nuclear,9.22
2020-03-04,Other,2.09
2020-03-04,Solar,18.72
2020-03-04,Wind_Offshore,9.73
2020-03-04,Wind_Onshore,30.56
2020-03-05,Biomass,8.74
2020-03-05,Coal_Hard_Coal,14.93
2020-03-05,Coal_Lignite,21.14
2020-03-05,Gas,12.47
2020-03-05,Hydro,4.85
2020-03-05,Nuclear,10
2020-03-05,Other,2.17
2020-03-05,Solar,18.66
2020-03-05,Wind_Offshore,10.49
2020-03-05,Wind_Onshore,29.82
2020-03-06,Biomass,7.96
2020-03-06,Coal_Hard_Coal,14.9
2020-03-06,Coal_Lignite,20.6
2020-03-06,Gas,11.95
2020-03-06,Hydro,4.6
2020-03-06,Nuclear,9.4
2020-03-06,Other,1.92
2020-03-06,Solar,18.27
2020-03-06,Wind_Offshore,11.13
2020-03-06,Wind_Onshore,35.31
2020-03-07,Biomass,8.54
2020-03-07,Coal_Hard_Coal,14.03
2020-03-07,Coal_Lignite,21.1
2020-03-07,Gas,12.64
2020-03-07,Hydro,4.92
2020-03-07,Nuclear,10.12
2020-03-07,Other,1.91
2020-03-07,Solar,20.52
2020-03-07,Wind_Offshore,10.04
2020-03-07,Wind_Onshore,35.03
2020-03-08,Biomass,7.68
2020-03-08,Coal_Hard_Coal,13.66
2020-03-08,Coal_Lignite,19.4
2020-03-08,Gas,11.12
2020-03-08,Hydro,4.77
2020-03-08,Nuclear,9.44
2020-03-08,Other,1.95
2020-03-08,Solar,19.38
2020-03-08,Wind_Offshore,9.53
2020-03-08,Wind_Onshore,34.32
2020-03-09,Biomass,8.36
2020-03-09,Coal_Hard_Coal,14.36
2020-03-09,Coal_Lignite,21.62
2020-03-09,Gas,12.78
2020-03-09,Hydro,4.62
2020-03-09,Nuclear,9.27
2020-03-09,Other,2.02
2020-03-09,Solar,19.5
2020-03-09,Wind_Offshore,10.93
2020-03-09,Wind_Onshore,35.02
2020-03-10,Biomass,8.66
2020-03-10,Coal_Hard_Coal,13.51
2020-03-10,Coal_Lignite,21.17
2020-03-10,Gas,12.5
2020-03-10,Hydro,5.45
2020-03-10,Nuclear,10.07
2020-03-10,Other,1.98
2020-03-10,Solar,19.99
2020-03-10,Wind_Offshore,11.22
2020-03-10,Wind_Onshore,30.15
2020-03-11,Biomass,7.72
2020-03-11,Coal_Hard_Coal,15.65
2020-03-11,Coal_Lignite,20.67
2020-03-11,Gas,12.5
2020-03-11,Hydro,4.8
2020-03-11,Nuclear,9.38
2020-03-11,Other,2.03
2020-03-11,Solar,20.64
2020-03-11,Wind_Offshore,9.83
2020-03-11,Wind_Onshore,32.7
2020-03-12,Biomass,7.29
2020-03-12,Coal_Hard_Coal,15.73
2020-03-12,Coal_Lignite,20.75
2020-03-12,Gas,12.54
2020-03-12,Hydro,4.8
2020-03-12,Nuclear,9.77
2020-03-12,Other,2.07
2020-03-12,Solar,21.13
2020-03-12,Wind_Offshore,10.23
2020-03-12,Wind_Onshore,35.18
2020-03-13,Biomass,7.9
2020-03-13,Coal_Hard_Coal,14.3
2020-03-13,Coal_Lignite,19.3
2020-03-13,Gas,12.76
2020-03-13,Hydro,4.94
2020-03-13,Nuclear,9.74
2020-03-13,Other,2.04
2020-03-13,Solar,18.47
2020-03-13,Wind_Offshore,9.73
2020-03-13,Wind_Onshore,33.59
2020-03-14,Biomass,8.22
2020-03-14,Coal_Hard_Coal,13.61
2020-03-14,Coal_Lignite,21.44
2020-03-14,Gas,11.94
2020-03-14,Hydro,5.17
2020-03-14,Nuclear,9.68
2020-03-14,Other,2.14
2020-03-14,Solar,19.31
2020-03-14,Wind_Offshore,11.49
2020-03-14,Wind_Onshore,35.82
2020-03-15,Biomass,8.68
2020-03-15,Coal_Hard_Coal,16.01
2020-03-15,Coal_Lignite,21.55
2020-03-15,Gas,11.78
2020-03-15,Hydro,5.28
2020-03-15,Nuclear,9.1
2020-03-15,Other,1.95
2020-03-15,Solar,21.48
2020-03-15,Wind_Offshore,10.59
2020-03-15,Wind_Onshore,33.35
2020-03-16,Biomass,8.74
2020-03-16,Coal_Hard_Coal,13.76
2020-03-16,Coal_Lignite,18.54
2020-03-16,Gas,11.42
2020-03-16,Hydro,4.65
2020-03-16,Nuclear,10.11
2020-03-16,Other,2.18
2020-03-16,Solar,18.74
2020-03-16,Wind_Offshore,10.3
2020-03-16,Wind_Onshore,30.19
2020-03-17,Biomass,7.88
2020-03-17,Coal_Hard_Coal,15.4
2020-03-17,Coal_Lignite,17.85
2020-03-17,Gas,12.43
2020-03-17,Hydro,4.91
2020-03-17,Nuclear,10.84
2020-03-17,Other,2.01
2020-03-17,Solar,21.71
2020-03-17,Wind_Offshore,9.79
2020-03-17,Wind_Onshore,34.31
2020-03-18,Biomass,8.41
2020-03-18,Coal_Hard_Coal,15.51
2020-03-18,Coal_Lignite,18.59
2020-03-18,Gas,10.83
2020-03-18,Hydro,5.4
2020-03-18,Nuclear,10.84
2020-03-18,Other,2.18
2020-03-18,Solar,19.45
2020-03-18,Wind_Offshore,10.3
2020-03-18,Wind_Onshore,30.33
2020-03-19,Biomass,7.82
2020-03-19,Coal_Hard_Coal,15.41
2020-03-19,Coal_Lignite,18.07
2020-03-19,Gas,11.11
2020-03-19,Hydro,5.13
2020-03-19,Nuclear,9.58
2020-03-19,Other,1.83
2020-03-19,Solar,20.31
2020-03-19,Wind_Offshore,10.32
2020-03-19,Wind_Onshore,34.05
2020-03-20,Biomass,8.52
2020-03-20,Coal_Hard_Coal,15.12
2020-03-20,Coal_Lignite,17.89
2020-03-20,Gas,11.46
